2014 Form EIA-860 Data - Schedule 6Acomma 'Boiler / Cooling System Associations',,,,,,
Utility ID,Utility Name,Plant Code,Plant Name,Boiler ID,Cooling ID,Steam Plant Type
21,AES Shady Point LLC,10671,AES Shady Point LLC,1A,1,1
21,AES Shady Point LLC,10671,AES Shady Point LLC,2B,1,1
21,AES Shady Point LLC,10671,AES Shady Point LLC,2A,1,1
21,AES Shady Point LLC,10671,AES Shady Point LLC,1B,1,1
25,Greenidge Generation Holdings LLC,2527,Greenidge Generation LLC,5,3,1
25,Greenidge Generation Holdings LLC,2527,Greenidge Generation LLC,4,3,1
25,Greenidge Generation Holdings LLC,2527,Greenidge Generation LLC,6,4,1
35,AES WR Ltd Partnership,10678,AES Warrior Run Cogeneration Facility,BLR1,CW1,1
52,ACE Cogeneration Co,10002,ACE Cogeneration Facility,CFB,CT,1
88,Granite Ridge Energy LLC,55170,Granite Ridge,STB2,PLANT,3
88,Granite Ridge Energy LLC,55170,Granite Ridge,STB1,PLANT,3
142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,3,1,1
142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,4,1,1
142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,2,1,1
142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,5,1,1
177,AES Hawaii Inc,10673,AES Hawaii,BLRA,CT,1
177,AES Hawaii Inc,10673,AES Hawaii,BLRB,CT,1
189,PowerSouth Energy Cooperative,56,Charles R Lowman,1,1,1
189,PowerSouth Energy Cooperative,56,Charles R Lowman,3,A,1
189,PowerSouth Energy Cooperative,56,Charles R Lowman,2,A,1
189,PowerSouth Energy Cooperative,56,Charles R Lowman,3,B,1
189,PowerSouth Energy Cooperative,56,Charles R Lowman,2,B,1
189,PowerSouth Energy Cooperative,533,McWilliams,HRSG1,MCWCT,1
189,PowerSouth Energy Cooperative,533,McWilliams,HRSGV1,VCT,1
189,PowerSouth Energy Cooperative,533,McWilliams,HRSGV2,VCT,1
195,Alabama Power Co,3,Barry,1,1-3,1
195,Alabama Power Co,3,Barry,2,1-3,1
195,Alabama Power Co,3,Barry,3,1-3,1
195,Alabama Power Co,3,Barry,4,4-5,1
195,Alabama Power Co,3,Barry,5,4-5,1
195,Alabama Power Co,3,Barry,6A,U6C,1
195,Alabama Power Co,3,Barry,6B,U6C,1
195,Alabama Power Co,3,Barry,7A,U7C,1
195,Alabama Power Co,3,Barry,7B,U7C,1
195,Alabama Power Co,7,Gadsden,2,1-2,1
195,Alabama Power Co,7,Gadsden,1,1-2,1
195,Alabama Power Co,8,Gorgas,10,10,1
195,Alabama Power Co,8,Gorgas,6,5-7,1
