2014 Form EIA-860 Data - Schedule 6Dcomma 'Cooling System Data',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility ID,Utility Name,Plant Code,Plant Name,State,Cooling ID,Cooling Status,Inservice Month,Inservice Year,Cooling Type 1,Cooling Type 2,Cooling Type 3,Cooling Type 4,Percent Dry Cooling,Cooling Water Source,Cooling Water Discharge,Water Source Code,Water Type Code,Intake Rate at 100% (Gallons per Minute),Chlorine Inservice Month,Chlorine Inservice Year,Pond Inservice Month,Pond Inservice Year,Pond Surface Area (Acres),Pond Volume (Acre Feet),Tower Inservice Month,Tower Inservice Year,Tower Type 1,Tower Type 2,Tower Type 3,Tower Type 4,Tower Water Rate (Gallons per Minute),Power Requirement (MW),Cost Total (Thousand Dollars),Cost Ponds (Thousand Dollars),Cost Towers (Thousand Dollars),Cost Chlorine Equipment (Thousand Dollars),Intake Distance Shore (Feet),Outlet Distance Shore (Feet),Intake Distance Surface (Feet),Outlet Distance Surface (Feet),Steam Plant Type
21,AES Shady Point LLC,10671,AES Shady Point LLC,OK,1,OP,1,1991,RI,,,, ,Poteau River,Poteau River,SW,FR,"3,007",1,1991, , , , ,1,1991,MW,,,,"166,068",5,"6,500", ,"5,600",20,1,,3,4,1
25,Greenidge Generation Holdings LLC,2527,Greenidge Generation LLC,NY,3,RE,4,1950,ON,,,, ,Seneca Lake,,,,"33,214", , , , , , , , ,,,,, , ,"1,647", , , ,720,"1,300",13,,1
25,Greenidge Generation Holdings LLC,2527,Greenidge Generation LLC,NY,4,OP,12,1953,ON,,,, ,Seneca Lake,Keuka Outlet to Seneca Lake,SW,FR,"68,222", , , , , , , , ,,,,, , ,"1,647", , , ,650,"1,300",11,,1
35,AES WR Ltd Partnership,10678,AES Warrior Run Cogeneration Facility,MD,CW1,OP,2,2000,RI,,,, ,City Of Cumberland Water Suppl,Potomac River,OT,OT,"1,917", , , , , , ,2,2002,MW,,,,"87,522",1,"20,000", ,"3,000", , , , , ,1
52,ACE Cogeneration Co,10002,ACE Cogeneration Facility,CA,CT,RE,9,1990,RI,,,, ,Wells,Searles Lake,GW,BR,"1,701", , , , , , ,9,1990,MW,,,,"58,572",0.8,910, ,627, , , ,280, ,1
88,Granite Ridge Energy LLC,55170,Granite Ridge,NH,PLANT,OP,3,2003,RI,,,, ,City of Manchester POTW,City of Manchester POTW,PD,BE,"33,214",3,2003, , , , ,3,2003,MW,,,,"140,035",0.975,"5,400", ,"4,000",369, , , , ,3
142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,PA,1,OP,6,1986,ON,,,, ,Nova Chemical Co (Ohio River),Nova Chemical Co (Ohio River),SW,FR,"93,357", , , , , , , , ,,,,, , ,"50,000", , , ,6,,12,,1
177,AES Hawaii Inc,10673,AES Hawaii,HI,CT,OP,4,2000,RI,,,, ,Wells,Reinjection wells,GW,BR,"8,214", , , , , , ,4,2000,MW,,,,"104,129",2,"5,000", ,"2,500", ,"2,000", ,75, ,1
189,PowerSouth Energy Cooperative,56,Charles R Lowman,AL,1,OP,3,1969,ON,,,,0%,Tombigbee River,Tombigbee River,SW,FR,"52,064", , , , , , , , ,,,,, , ,"1,294", , , ,200,,10,6,1
189,PowerSouth Energy Cooperative,56,Charles R Lowman,AL,A,OP,3,1979,RI,,,, ,Tombigbee River,Tombigbee River,SW,FR,"5,386", , , , , , ,3,1979,MW,,,,"1,204,214",1,"1,331", ,"1,331", ,200,,10,,1
189,PowerSouth Energy Cooperative,56,Charles R Lowman,AL,B,OP,5,1980,RI,,,, ,Tombigbee River,Tombigbee River,SW,FR,"5,386", , , , , , ,5,1980,MW,,,,"1,204,214",2,"1,469", ,"1,469", ,200,,10,,1
189,PowerSouth Energy Cooperative,533,McWilliams,AL,MCWCT,OP,6,1997,RI,,,, ,Conecuh River,Conecuh River,SW,FR,"76,301", , , , , , ,6,1997,MW,,,,"76,301",1.5,"1,121", ,"1,121", ,25, ,20, ,1
189,PowerSouth Energy Cooperative,533,McWilliams,AL,VCT,OP,1,2002,RI,,,, ,Conecuh River,Conecuh River,SW,FR,"176,525", , , , , , ,1,2002,MW,,,,"176,525",3.25,"2,712", ,"2,712", ,25, ,20, ,1
195,Alabama Power Co,3,Barry,AL,1-3,OP,2,1954,ON,,,, ,Mobile River,Mobile River,SW,FR,"337,970", , , , , , , , ,,,,, , ,"2,810", , , ,"1,026","5,000",10,,1
195,Alabama Power Co,3,Barry,AL,4-5,OP,12,1969,ON,,,, ,Mobile River,Mobile River,SW,FR,"438,957", , , , , , , , ,,,,, , ,"2,810", , , ,"1,301","5,000",10,,1
195,Alabama Power Co,3,Barry,AL,U6C,OP,5,2000,RI,,,,0%,Mobile River,Mobile River,PD,BE,"5,566", , , , , , ,5,2000,MW,,,,"125,224",1.5,"4,200", ,"2,600", ,"2,640","2,440",8, ,1
195,Alabama Power Co,3,Barry,AL,U7C,OP,5,2001,RI,,,,0%,Mobile River,Mobile River,PD,BE,"5,566", , , , , , ,5,2001,MW,,,,"125,224",1.5,"4,200", ,"2,600", ,"2,640","2,440",8, ,1
195,Alabama Power Co,7,Gadsden,AL,1-2,OP,4,1949,ON,,,, ,Coosa River,Coosa River,SW,FR,"118,491", , , , , , , , ,,,,, , ,360, , , ,,,25,20,1
195,Alabama Power Co,8,Gorgas,AL,10,OP,10,1972,ON,,,, ,Warrior River,Warrior River,SW,FR,"291,740", , , , , , , , ,,,,, , ,500, , , ,"4,200",650,14,14,1
195,Alabama Power Co,8,Gorgas,AL,5-7,OP,1,1944,ON,,,, ,Warrior River,Warrior River,SW,FR,"236,983", , , , , , , , ,,,,, , ,501, , , ,"3,300",550,23,13,1
195,Alabama Power Co,8,Gorgas,AL,8-9,OP,5,1956,ON,,,, ,Warrior River,Warrior River,SW,FR,"209,604", , , , , , , , ,,,,, , ,888, , , ,"4,200",650,30,18,1
195,Alabama Power Co,10,Greene County,AL,1-2,OP,6,1965,ON,,,, ,Black Warrior River,Black Warrior River,SW,FR,"274,685", , , , , , , , ,,,,, , ,"1,726", , , ,250,"3,000",5,5,1
195,Alabama Power Co,26,E C Gaston,AL,1,OP,5,1960,ON,,,, ,Coosa River,Coosa River,SW,FR,"136,894", , , , , , , , ,,,,, , ,"2,892", , , ,,100,16,17,1
195,Alabama Power Co,26,E C Gaston,AL,2,OP,5,1960,ON,,,, ,Coosa River,Coosa River,SW,FR,"136,894", , , , , , , , ,,,,, , ,"2,892", , , ,,100,16,17,1
195,Alabama Power Co,26,E C Gaston,AL,3,OP,6,1961,ON,,,, ,Coosa River,Coosa River,SW,FR,"151,705", , , , , , , , ,,,,, , ,"3,006", , , ,,100,16,17,1
195,Alabama Power Co,26,E C Gaston,AL,4,OP,6,1961,ON,,,, ,Coosa River,Coosa River,SW,FR,"151,705", , , , , , , , ,,,,, , ,"3,006", , , ,,100,16,17,1
195,Alabama Power Co,26,E C Gaston,AL,5,OP,8,1974,RI,,,,0%,Coosa River,Coosa River,SW,FR,"68,222", , , , , , ,8,1974,MW,,,,"385,097",2,"5,206", , , ,,100,16,,1
195,Alabama Power Co,6001,Joseph M Farley,AL,1,OP,12,1977,RI,,,,0%,Chattahoochee River,Chattahoochee River,SW,FR,"43,618", , , , , , ,12,1977,MW,,,,"720,015",6, , , , , , , , ,3
195,Alabama Power Co,6001,Joseph M Farley,AL,2,OP,7,1981,RI,,,, ,Chattahoochee River,,SW,FR,"43,618", , , , , , ,7,1981,MW,,,,"720,015",6, , , , , , , , ,3
195,Alabama Power Co,6002,James H Miller Jr,AL,1-2,OP,10,1978,RN,,,,0%,Black Warrior River,Black Warrior River,SW,FR,"12,118", , , , , , ,10,1978,NW,,,,"413,374",1,"15,713", ,"15,713", ,5, ,40, ,1
195,Alabama Power Co,6002,James H Miller Jr,AL,3-4,OP,5,1985,RN,,,,0%,Black Warrior River,Black Warrior River,SW,FR,"12,118", , , , , , ,6,1989,NW,,,,"413,374",1,"20,000", ,"20,000", ,5, ,40, ,1
261,AGC Division of APG Inc,6705,Warrick,IN,1-3,OP,4,1960,ON,,,, ,Ohio River,Ohio River,SW,FR,"373,876",4,1960, , , , , , ,,,,, , ,"4,870", , ,115,16,16,33,10,1
