FuelPrices($/MMBtu),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Coal,2.378159,2.185613,2.101085,2.086221,2.201983,2.230612,2.264737,2.265934,2.265181,2.271795,2.264274,2.264683,2.268468,2.262825,2.257882,2.255623,2.256611,2.269693,2.283576,2.296765,2.310504,2.318179,2.331449,2.342191,2.357312,2.36941,2.382866
NaturalGas,5.055875,3.257243,3.469473,3.889338,4.124279,4.386546,4.692021,4.681439,4.735467,5.00049,5.228107,5.397389,5.380877,5.397211,5.454793,5.537111,5.574399,5.510184,5.476091,5.451233,5.416586,5.382701,5.413218,5.38071,5.362808,5.394263,5.362731
Oil,23.777847,15.032279,11.592208,13.124022,14.906214,17.275291,18.433044,19.298962,19.967829,20.388775,20.763735,21.223701,21.789595,22.24902,22.609642,23.131392,23.493122,24.01388,24.641438,25.26096,25.962942,26.406113,27.057779,27.44813,28.056578,28.663363,29.377468
Nuclear,0.775240085,0.866167777,0.880477115,0.840266064,0.857835757,0.865080992,0.855843318,0.859828197,0.858922543,0.873413011,0.879571461,0.910544838,0.931193756,0.939344645,0.958001124,0.961080348,0.974484032,0.985895276,0.998212175,1.009623419,1.021940317,1.034438347,1.021940317,1.034438347,1.021940317,1.034438347,1.021940317
Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fwaste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-Fossil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pet. Coke,23.777847,15.032279,11.592208,13.124022,14.906214,17.275291,18.433044,19.298962,19.967829,20.388775,20.763735,21.223701,21.789595,22.24902,22.609642,23.131392,23.493122,24.01388,24.641438,25.26096,25.962942,26.406113,27.057779,27.44813,28.056578,28.663363,29.377468
Biomass,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81
