TechnologyType,Parameter,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Solar PV,CAPEX(2012$/MW),1963288.550908323,1883748.2044782424,1788687.790452049,1692657.3722010984,1596626.9539501478,1501566.5399239543,1405536.1216730038,1338605.8301647655,1271675.5386565272,1204745.2471482889,1137814.9556400508,1070884.6641318125,1058274.6092099703,1046634.5585128855,1034024.5035910435,1021414.4486692016,1009774.3979721166,999104.3514997888,989404.309252218,979704.2670046473,970004.2247570765,959334.1782847487,949634.1360371779,939934.0937896072,930234.0515420364,919564.0050697085,909863.9628221377,901133.924799324,893373.8910012675,884643.8529784537,876883.8191803972,868153.7811575835,859423.7431347697,851663.7093367132,842933.6713138995,834203.6332910858,826443.5994930292
Solar PV,FOM(2012$/MW/yr),16490.0718208703,15520.067596113224,14550.063371356147,13580.059146599071,13580.059146599071,12610.054921841995,11640.050697084918,10670.046472327842,9700.042247570766,9700.042247570766,8730.03802281369,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612,7760.033798056612
Solar PV,VOM(2012$/MWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,CAPEX(2012$/MW),1724667.511618082,1720787.4947190536,1701387.4102239122,1683927.3341782847,1668407.2665821717,1655797.2116603295,1645127.1651880017,1629607.0975918884,1616027.0384452895,1604386.9877482045,1594686.9455006337,1585956.90747782,1579166.8779045206,1573346.852555978,1569466.8356569498,1565586.8187579215,1563646.8103084073,1559766.793409379,1557826.7849598648,1555886.7765103506,1553946.7680608365,1552976.7638360795,1552976.7638360795,1552976.7638360795,1552976.7638360795,1552976.7638360795,1553946.7680608365,1552006.7596113223,1551036.7553865653,1549096.7469370512,1548126.742712294,1546186.7342627798,1544246.7258132657,1542306.7173637517,1539396.7046894804,1536486.6920152092,1533576.6793409379
Wind,FOM(2012$/MW/yr),49470.215462610904,49470.215462610904,49470.215462610904,49470.215462610904,49470.215462610904,49470.215462610904,48500.21123785382,48500.21123785382,48500.21123785382,48500.21123785382,48500.21123785382,48500.21123785382,48500.21123785382,47530.20701309675,47530.20701309675,47530.20701309675,47530.20701309675,47530.20701309675,47530.20701309675,47530.20701309675,46560.20278833967,46560.20278833967,46560.20278833967,46560.20278833967,46560.20278833967,46560.20278833967,46560.20278833967,45590.19856358259,45590.19856358259,45590.19856358259,45590.19856358259,45590.19856358259,45590.19856358259,45590.19856358259,44620.19433882552,44620.19433882552,44620.19433882552
Wind,VOM(2012$/MWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal Steam,HR(Btu/kWh),8516.637093367131,8516.637093367131,8506.937051119561,8506.937051119561,8497.237008871989,8497.237008871989,8497.237008871989,8487.536966624419,8487.536966624419,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848,8477.836924376848
Coal Steam,CAPEX(2012$/MW),3979927.3341782847,3979927.3341782847,3979927.3341782847,3931427.122940431,3920757.076468103,3931427.122940431,3921727.0806928603,3912027.0384452892,3902326.9961977187,3892626.953950148,3881956.9074778203,3872256.8652302492,3862556.8229826787,3852856.7807351076,3843156.738487537,3832486.6920152092,3822786.6497676386,3813086.6075200676,3803386.565272497,3793686.523024926,3783016.476552598,3773316.4343050276,3763616.3920574565,3753916.349809886,3743246.303337558,3733546.2610899876,3723846.2188424165,3714146.176594846,3704446.134347275,3693776.087874947,3684076.0456273765,3674376.003379806,3664675.961132235,3654975.9188846643,3644305.8724123365,3634605.8301647655,3624905.787917195
Coal Steam,FOM(2012$/MW/yr),31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448
Coal Steam,VOM(2012$/MWh),4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383,4.850021123785383
